t,ax,ay,az,gx,gy,gz,temp
121,0.004782,0.004782,9.868125,0,-0.003193,-0.001064,26.5
122,0.014347,0.031084,9.839431,0.001064,0,0.005321,26.75
123,0.02152,0.045431,9.817911,-0.005321,-0.002128,0.005321,26.625
124,0.023911,0.08608,9.860951,0.004257,-0.001064,0.003193,26.5625
125,-0.02152,0.033476,9.906382,0.006385,-0.008514,0.005321,26.5625
126,0.004782,0.033476,9.875298,0.008514,0,0.002128,26.6875
127,0.007173,0.04304,9.894427,0.005321,-0.002128,-0.002128,26.75
128,0.047822,0.045431,9.870516,0.001064,0,0.005321,26.5625
129,0.016738,0.04304,9.801173,0.004257,-0.00745,-0.001064,26.4375
130,0.02152,0.040649,9.846604,0.006385,0.003193,0.001064,26.5625
131,0.066951,-0.033476,9.794,0.003193,-0.002128,0.003193,26.5625
132,0.04304,0.062169,9.920729,0.00745,-0.008514,0.001064,26.375
133,0.019129,-0.011956,9.863342,0.002128,-0.005321,0.002128,26.5
134,0.069342,0.014347,9.860951,0.00745,-0.003193,0,26.3125
135,0.047822,0.014347,9.875298,0.002128,-0.004257,0.002128,26.4375
136,0.023911,-0.009564,9.88008,0.004257,0,0.002128,26.5625
137,0.031084,0.031084,9.925511,0.005321,-0.004257,-0.002128,26.5
138,0.019129,-0.002391,9.877689,0,0.004257,-0.004257,26.625
139,0.023911,0.074125,9.903991,0,-0.005321,0.002128,26.5625
140,-0.009564,0.040649,9.846604,0.004257,-0.004257,0.002128,26.5
141,-0.014347,0.076516,9.892036,0.004257,-0.004257,0,26.375
142,0.057387,0.016738,9.88008,0.002128,-0.002128,0.003193,26.5
143,0.045431,0.040649,9.798782,0.001064,-0.006385,0.012771,26.625
144,0.06456,-0.011956,9.810738,0.004257,-0.003193,0.006385,26.4375
145,0.026302,-0.002391,9.758133,0.006385,0.003193,0.002128,26.4375
146,0.040649,-0.004782,9.827476,0.003193,0,0.008514,26.6875
147,0.090862,-0.011956,9.872907,0.005321,-0.005321,0.006385,26.4375
148,0.062169,0.02152,9.894427,0.003193,0.001064,0.002128,26.4375
149,0.083689,-0.007173,9.863342,0.002128,-0.008514,0.008514,26.375
150,0.057387,0.019129,9.9016,0.004257,-0.005321,0.00745,26.5
151,0.06456,-0.011956,9.958987,0.00745,0,0.00745,26.5625
152,0.040649,0.002391,9.908773,0.001064,-0.001064,-0.003193,26.625
153,0.011956,0.007173,9.887253,0.00745,-0.002128,0,26.5
154,0.050213,0.076516,9.978116,-0.001064,0.001064,-0.003193,26.6875
155,0.02152,0.038258,9.853778,0.003193,-0.003193,0.002128,26.4375
156,-0.050213,0.004782,9.882471,0.00745,-0.002128,0,26.6875
157,-0.02152,0.047822,9.853778,0.002128,-0.002128,0.005321,26.375
158,-0.02152,0.007173,9.848996,-0.002128,-0.003193,-0.004257,26.4375
159,0.035867,0.033476,9.856169,0.006385,0.001064,0.003193,26.375
160,0.023911,0.038258,9.801173,0.001064,-0.008514,0.002128,26.625
161,0.002391,0.023911,9.839431,0.003193,-0.004257,0.004257,26.625
162,0.035867,0.019129,9.784436,0.001064,-0.004257,0.001064,26.4375
163,0.038258,0.007173,9.915947,0.00745,-0.003193,-0.005321,26.5625
164,0.057387,-0.02152,9.872907,0.010642,-0.004257,0.004257,26.5625
165,0.04304,0.007173,9.863342,0.003193,0.003193,0.003193,26.25
166,0.054996,0.035867,9.920729,0.009578,-0.004257,0.003193,26.6875
167,0.078907,0.06456,9.906382,0.003193,-0.003193,0,26.5625
168,0,0.014347,9.863342,0,-0.006385,0.003193,26.375
169,0.02152,-0.007173,9.872907,0,-0.003193,0.001064,26.4375
170,0.062169,0.019129,9.834649,0.008514,-0.00745,0.003193,26.4375
171,0.076516,-0.011956,9.860951,-0.001064,-0.002128,0,26.5
172,0.057387,0.016738,9.860951,0.00745,-0.004257,0,26.375
173,0.093253,0.023911,9.851387,0.010642,-0.002128,0.001064,26.375
174,0.052604,0.052604,9.856169,0.009578,-0.003193,0.00745,26.625
175,0.047822,0.014347,9.906382,0.006385,-0.005321,0.002128,26.5625
176,0.035867,0.009564,9.870516,0,0.001064,0,26.5625
177,0.050213,0.019129,9.908773,0.00745,0.005321,0.003193,26.5
178,0.035867,0.035867,9.932685,0.006385,-0.002128,-0.005321,26.6875
179,0.038258,0.033476,9.85856,0.008514,-0.001064,0.004257,26.375
180,0.016738,0.007173,9.851387,-0.001064,-0.00745,0,26.625
181,-0.004782,0.052604,9.85856,0.002128,0.001064,0,26.4375
182,0.04304,0.045431,9.83704,0,-0.001064,0.003193,26.5
183,0.040649,0.038258,9.825084,0.004257,0.004257,0.005321,26.4375
184,0.026302,0.011956,9.794,0.001064,-0.002128,0.006385,26.5
185,0.028693,-0.007173,9.848996,0.002128,-0.005321,0.008514,26.5625
186,0.04304,0.026302,9.848996,0,0.001064,0,26.5
187,0.02152,0.011956,9.844213,0.003193,0.001064,-0.003193,26.375
188,0.069342,-0.004782,9.863342,0.005321,-0.004257,0.005321,26.25
189,0.052604,-0.009564,9.889645,0.004257,-0.002128,0,26.5
190,0.047822,0.014347,9.896818,0.00745,-0.003193,0.003193,26.5
191,0.062169,0.054996,9.908773,0.003193,0.002128,0.002128,26.375
192,0.057387,0.059778,9.906382,0.006385,-0.002128,0.005321,26.375
193,0.06456,0.019129,9.911165,0.008514,-0.003193,0.002128,26.625
194,0.023911,0.028693,9.851387,0.004257,-0.004257,0,26.4375
195,0.050213,0.004782,9.908773,0.001064,0.001064,-0.001064,26.5625
196,0.028693,0.019129,9.913556,0.002128,-0.003193,0,26.4375
197,0.038258,-0.014347,9.94464,0.009578,-0.003193,0.003193,26.5625
198,-0.004782,0.050213,9.889645,0.003193,0.001064,0.00745,26.625
199,0.002391,0.023911,9.9016,-0.001064,-0.003193,0.004257,26.375
200,-0.04304,0.038258,9.856169,0.005321,-0.001064,0.005321,26.5
201,0.016738,0.038258,9.825084,0.004257,-0.005321,-0.002128,26.5
202,0.007173,0.040649,9.856169,0.003193,-0.001064,0.004257,26.5625
203,0.014347,0.04304,9.810738,0.003193,0.004257,0,26.625
204,-0.009564,0.026302,9.782044,0.006385,-0.002128,0.005321,26.375
205,0.009564,0.026302,9.865733,0.001064,-0.001064,-0.002128,26.625
206,0.031084,0.004782,9.801173,0.003193,-0.006385,0.00745,26.3125
207,0.06456,0.02152,9.853778,0.002128,0,-0.001064,26.3125
208,0.062169,-0.02152,9.863342,0.008514,-0.003193,0.003193,26.5
209,0.081298,0.019129,9.844213,0.006385,-0.004257,0.004257,26.6875
210,0.076516,0.007173,9.894427,0.005321,0.002128,0.006385,26.4375
211,0.028693,0.023911,9.875298,0.003193,-0.001064,0.004257,26.5
212,0.016738,0.011956,9.894427,0.006385,-0.004257,0.001064,26.6875
213,0.04304,0.02152,9.877689,0.006385,-0.002128,0,26.5
214,0.007173,0.040649,9.894427,0.004257,-0.001064,0.006385,26.3125
215,0.057387,-0.028693,9.841822,0.006385,-0.004257,0.002128,26.5625
216,0,0.014347,9.918338,0.002128,0.001064,-0.001064,26.625
217,0.026302,0.035867,9.803564,0.004257,-0.001064,0.002128,26.6875
218,0.02152,0.019129,9.9016,0,-0.002128,0.005321,26.5625
219,0.019129,0.028693,9.892036,-0.006385,0.003193,0.00745,26.5
220,0.009564,0.007173,9.829867,0.003193,-0.009578,0.00745,26.4375
221,-0.014347,0.014347,9.834649,0.00745,0.001064,0.004257,26.5625
222,0.062169,-0.009564,9.844213,0.001064,-0.003193,0.002128,26.3125
223,0.083689,-0.002391,9.844213,0.00745,-0.004257,0.001064,26.5625
