t,ax,ay,az,gx,gy,gz,temp
0.167,0.078907,0.06456,9.906382,0.003193,-0.003193,0,26.5625
0.168,0,0.014347,9.863342,0,-0.006385,0.003193,26.375
0.169,0.02152,-0.007173,9.872907,0,-0.003193,0.001064,26.4375
0.17,0.062169,0.019129,9.834649,0.008514,-0.00745,0.003193,26.4375
0.171,0.076516,-0.011956,9.860951,-0.001064,-0.002128,0,26.5
0.172,0.057387,0.016738,9.860951,0.00745,-0.004257,0,26.375
0.173,0.093253,0.023911,9.851387,0.010642,-0.002128,0.001064,26.375
0.174,0.052604,0.052604,9.856169,0.009578,-0.003193,0.00745,26.625
0.175,0.047822,0.014347,9.906382,0.006385,-0.005321,0.002128,26.5625
0.176,0.035867,0.009564,9.870516,0,0.001064,0,26.5625
0.177,0.050213,0.019129,9.908773,0.00745,0.005321,0.003193,26.5
0.178,0.035867,0.035867,9.932685,0.006385,-0.002128,-0.005321,26.6875
0.179,0.038258,0.033476,9.85856,0.008514,-0.001064,0.004257,26.375
0.18,0.016738,0.007173,9.851387,-0.001064,-0.00745,0,26.625
0.181,-0.004782,0.052604,9.85856,0.002128,0.001064,0,26.4375
0.182,0.04304,0.045431,9.83704,0,-0.001064,0.003193,26.5
0.183,0.040649,0.038258,9.825084,0.004257,0.004257,0.005321,26.4375
0.184,0.026302,0.011956,9.794,0.001064,-0.002128,0.006385,26.5
0.185,0.028693,-0.007173,9.848996,0.002128,-0.005321,0.008514,26.5625
0.186,0.04304,0.026302,9.848996,0,0.001064,0,26.5
0.187,0.02152,0.011956,9.844213,0.003193,0.001064,-0.003193,26.375
0.188,0.069342,-0.004782,9.863342,0.005321,-0.004257,0.005321,26.25
0.189,0.052604,-0.009564,9.889645,0.004257,-0.002128,0,26.5
0.19,0.047822,0.014347,9.896818,0.00745,-0.003193,0.003193,26.5
0.191,0.062169,0.054996,9.908773,0.003193,0.002128,0.002128,26.375
0.192,0.057387,0.059778,9.906382,0.006385,-0.002128,0.005321,26.375
0.193,0.06456,0.019129,9.911165,0.008514,-0.003193,0.002128,26.625
0.194,0.023911,0.028693,9.851387,0.004257,-0.004257,0,26.4375
0.195,0.050213,0.004782,9.908773,0.001064,0.001064,-0.001064,26.5625
0.196,0.028693,0.019129,9.913556,0.002128,-0.003193,0,26.4375
0.197,0.038258,-0.014347,9.94464,0.009578,-0.003193,0.003193,26.5625
0.198,-0.004782,0.050213,9.889645,0.003193,0.001064,0.00745,26.625
0.199,0.002391,0.023911,9.9016,-0.001064,-0.003193,0.004257,26.375
0.2,-0.04304,0.038258,9.856169,0.005321,-0.001064,0.005321,26.5
0.201,0.016738,0.038258,9.825084,0.004257,-0.005321,-0.002128,26.5
0.202,0.007173,0.040649,9.856169,0.003193,-0.001064,0.004257,26.5625
0.203,0.014347,0.04304,9.810738,0.003193,0.004257,0,26.625
0.204,-0.009564,0.026302,9.782044,0.006385,-0.002128,0.005321,26.375
0.205,0.009564,0.026302,9.865733,0.001064,-0.001064,-0.002128,26.625
0.206,0.031084,0.004782,9.801173,0.003193,-0.006385,0.00745,26.3125
0.207,0.06456,0.02152,9.853778,0.002128,0,-0.001064,26.3125
0.208,0.062169,-0.02152,9.863342,0.008514,-0.003193,0.003193,26.5
0.209,0.081298,0.019129,9.844213,0.006385,-0.004257,0.004257,26.6875
0.21,0.076516,0.007173,9.894427,0.005321,0.002128,0.006385,26.4375
0.211,0.028693,0.023911,9.875298,0.003193,-0.001064,0.004257,26.5
0.212,0.016738,0.011956,9.894427,0.006385,-0.004257,0.001064,26.6875
0.213,0.04304,0.02152,9.877689,0.006385,-0.002128,0,26.5
0.214,0.007173,0.040649,9.894427,0.004257,-0.001064,0.006385,26.3125
0.215,0.057387,-0.028693,9.841822,0.006385,-0.004257,0.002128,26.5625
0.216,0,0.014347,9.918338,0.002128,0.001064,-0.001064,26.625
0.217,0.026302,0.035867,9.803564,0.004257,-0.001064,0.002128,26.6875
0.218,0.02152,0.019129,9.9016,0,-0.002128,0.005321,26.5625
0.219,0.019129,0.028693,9.892036,-0.006385,0.003193,0.00745,26.5
0.22,0.009564,0.007173,9.829867,0.003193,-0.009578,0.00745,26.4375
0.221,-0.014347,0.014347,9.834649,0.00745,0.001064,0.004257,26.5625
0.222,0.062169,-0.009564,9.844213,0.001064,-0.003193,0.002128,26.3125
0.223,0.083689,-0.002391,9.844213,0.00745,-0.004257,0.001064,26.5625
0.224,0.076516,0.016738,9.85856,0.006385,-0.003193,0.006385,26.4375
0.225,0.019129,-0.002391,9.932685,0.008514,0.001064,-0.002128,26.5625
0.226,0.083689,0.040649,9.939858,0.00745,0.002128,0.001064,26.5625
0.227,0.023911,0.059778,9.889645,0.00745,0.001064,-0.003193,26.5625
0.228,0.028693,0.009564,9.853778,0.008514,-0.005321,0.002128,26.3125
0.229,0.040649,0.040649,9.925511,-0.003193,-0.002128,-0.002128,26.6875
0.23,-0.004782,0.069342,9.875298,0.002128,0.001064,0.001064,26.5
0.231,0.031084,0.033476,9.83704,-0.002128,-0.004257,-0.002128,26.625
0.232,-0.014347,0.038258,9.827476,-0.001064,-0.004257,-0.002128,26.6875
0.233,0.016738,0.02152,9.896818,0.003193,-0.001064,0.003193,26.6875
0.234,-0.016738,0.026302,9.794,0.005321,-0.001064,0.00745,26.5625
0.235,0.035867,0.009564,9.817911,0.005321,0.002128,0.006385,26.5625
0.236,0.014347,0.071733,9.789218,0.003193,-0.002128,0.003193,26.5
0.237,0.062169,-0.02152,9.817911,0.005321,0.002128,0.004257,26.625
0.238,0.071733,-0.016738,9.827476,-0.009578,-0.002128,0.004257,26.3125
0.239,0.074125,0.011956,9.877689,0.006385,-0.001064,0.002128,26.5
